source,config_id,run_dir,status,sampler_mode,composer_type,condition_mode,prompt_cache_path,gate_state,learning_rate,lambda_source,residual_scale,edit_scale,gate_max,dropout,batch_size,temperature,best_val_official_like@10,best_val_exact_R@10,best_val_attr_success@10,best_epoch,best_step,val_mean_rank_B
hpsearch,add_l006,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v2_20260619_093758_long/gate_v2_additivegate_add_l006_balanced_length_b256_lr0.0003_src0.02_scale0.02_long,complete,balanced_length,additive_gate,signed_direction,,,0.0003,0.02,0.02,1.0,2.0,0.1,256,0.05,0.773681640625,0.572021484375,0.88330078125,2,4000,57.65283203125
hpsearch,add_l004,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v2_20260619_093758_long/gate_v2_additivegate_add_l004_balanced_length_b256_lr0.0003_src0.02_scale0.02_long,complete,balanced_length,additive_gate,signed_direction,,,0.0003,0.02,0.02,1.25,1.5,0.1,256,0.05,0.77099609375,0.569580078125,0.882568359375,2,4000,57.99560546875
hpsearch,ov015,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v1_20260618_024432_long/gate_v1_ov015_balanced_length_b256_lr0.0003_src0.02_scale0.1_long,complete,balanced_length,,,,,0.0003,0.02,0.1,,,0.1,256,0.05,0.75732421875,0.557373046875,0.86767578125,2,4000,61.8662109375
hpsearch,add_l010,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v2_20260619_093758_long/gate_v2_additivegate_add_l010_balanced_length_b256_lr0.0003_src0.02_scale0.02_long,complete,balanced_length,additive_gate,signed_direction,,,0.0003,0.02,0.02,1.0,1.5,0.1,256,0.07,0.753173828125,0.546630859375,0.87548828125,2,4000,64.80322265625
hpsearch,ov012,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v1_20260618_024432_long/gate_v1_ov012_balanced_length_b256_lr0.0001_src0.0_scale0.1_long,complete,balanced_length,,,,,0.0001,0.0,0.1,,,0.1,256,,0.74658203125,0.536376953125,0.86572265625,8,16000,74.626708984375
hpsearch,seq_s002,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260619_154246_short/gate_v3_sequentialgate_seq_s002_balanced_length_b128_lr0.0003_src0.02_scale0.02_short,complete,balanced_length,sequential_gate,signed_direction,,source,0.0003,0.02,0.02,1.0,1.5,0.1,128,0.03,0.74609375,0.5068359375,0.8564453125,3,300,92.34765625
hpsearch,seq_s001,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v3_20260619_154246_short/gate_v3_sequentialgate_seq_s001_balanced_length_b128_lr0.0003_src0.02_scale0.02_short,complete,balanced_length,sequential_gate,signed_direction,,current,0.0003,0.02,0.02,1.0,1.5,0.1,128,0.03,0.7451171875,0.5048828125,0.857421875,3,300,92.662109375
hpsearch,ov011,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v1_20260618_024432_long/gate_v1_ov011_natural_length_b256_lr0.0003_src0.02_scale0.1_long,complete,natural_length,,,,,0.0003,0.02,0.1,,,0.1,256,,0.744384765625,0.53564453125,0.861083984375,2,4000,70.266845703125
hpsearch,ov008,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v1_20260618_024432_long/gate_v1_ov008_balanced_length_b256_lr0.0003_src0.02_scale0.15_long,complete,balanced_length,,,,,0.0003,0.02,0.15,,,0.1,256,,0.7412109375,0.534912109375,0.862548828125,2,4000,68.026611328125
hpsearch,ov003,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_gate_v1_20260618_024432_long/gate_v1_ov003_balanced_length_b256_lr0.0002_src0.02_scale0.1_long,complete,balanced_length,,,,,0.0002,0.02,0.1,,,0.1,256,,0.74072265625,0.53857421875,0.8603515625,2,4000,66.885986328125
