objective,attribute,threshold,score,accuracy,precision,recall,balanced_accuracy,f1,positive_rate
f1,Wearing_Lipstick,0.625,0.9201008677482605,0.9266119599342346,0.8942266702651978,0.947516918182373,0.9286507964134216,0.9201008677482605,0.4459656774997711
f1,Wearing_Necklace,0.6749999523162842,0.44176244735717773,0.8067649602890015,0.3389868438243866,0.6339733004570007,0.7322176098823547,0.44176244735717773,0.12060200423002243
f1,Wearing_Necktie,0.8500000238418579,0.7034710645675659,0.9548497796058655,0.6725663542747498,0.737352728843689,0.8546186089515686,0.7034710645675659,0.07263301312923431
f1,Young,0.2750000059604645,0.92845618724823,0.890622615814209,0.907277524471283,0.950647234916687,0.8322253227233887,0.92845618724823,0.7465646266937256
balanced_accuracy,5_o_Clock_Shadow,0.44999998807907104,0.9106659293174744,0.8759752511978149,0.4870736598968506,0.9560767412185669,0.9106659293174744,0.6453655958175659,0.11803492903709412
balanced_accuracy,Arched_Eyebrows,0.5,0.8266050815582275,0.8025872111320496,0.5778319835662842,0.8763147592544556,0.8266050815582275,0.6964395642280579,0.258418470621109
balanced_accuracy,Attractive,0.5249999761581421,0.8105039596557617,0.8111441135406494,0.8133930563926697,0.8264614939689636,0.8105039596557617,0.8198752403259277,0.5200583934783936
balanced_accuracy,Bags_Under_Eyes,0.44999998807907104,0.778995156288147,0.7615643739700317,0.45770391821861267,0.8087842464447021,0.778995156288147,0.5845829844474792,0.2074294090270996
balanced_accuracy,Bald,0.15000000596046448,0.978909432888031,0.9633563160896301,0.36035242676734924,0.9951338171958923,0.978909432888031,0.529107391834259,0.02068757265806198
balanced_accuracy,Bangs,0.5,0.934510350227356,0.9284743666648865,0.6865634322166443,0.9430531859397888,0.934510350227356,0.7946234941482544,0.14672572910785675
balanced_accuracy,Big_Lips,0.5249999761581421,0.7218718528747559,0.6950722336769104,0.30285191535949707,0.7605124711990356,0.7218718528747559,0.433196097612381,0.15321891009807587
balanced_accuracy,Big_Nose,0.4749999940395355,0.7913457751274109,0.7865304350852966,0.5486419200897217,0.8009306192398071,0.7913457751274109,0.6512048840522766,0.24880455434322357
balanced_accuracy,Black_Hair,0.5,0.8842211365699768,0.8749685287475586,0.6431034207344055,0.9000965356826782,0.8842211365699768,0.7502011060714722,0.20858711004257202
balanced_accuracy,Blond_Hair,0.574999988079071,0.9349331259727478,0.9308904409408569,0.7069092988967896,0.9407722353935242,0.9349331259727478,0.8072441220283508,0.15382292866706848
balanced_accuracy,Blurry,0.32499998807907104,0.9085226655006409,0.8526702523231506,0.23930726945400238,0.9702127575874329,0.9085226655006409,0.38391920924186707,0.04731464385986328
balanced_accuracy,Brown_Hair,0.44999998807907104,0.8219560980796814,0.7921175956726074,0.5426695942878723,0.8796160817146301,0.8219560980796814,0.671230673789978,0.24125434458255768
balanced_accuracy,Bushy_Eyebrows,0.44999998807907104,0.8671821355819702,0.8489958047866821,0.4838215708732605,0.8926174640655518,0.8671821355819702,0.6275142431259155,0.14249761402606964
balanced_accuracy,Chubby,0.44999998807907104,0.896844744682312,0.8936427235603333,0.3547133207321167,0.9004934430122375,0.896844744682312,0.5089472532272339,0.06120702624320984
balanced_accuracy,Double_Chin,0.4000000059604645,0.9046992659568787,0.8798006772994995,0.28133705258369446,0.9323077201843262,0.9046992659568787,0.43223968148231506,0.04907635599374771
balanced_accuracy,Eyeglasses,0.44999998807907104,0.9888542890548706,0.9929531216621399,0.9202163815498352,0.9840925335884094,0.9888542890548706,0.9510831832885742,0.06961292773485184
balanced_accuracy,Goatee,0.5,0.9533240795135498,0.9379876255989075,0.5444104075431824,0.9713114500045776,0.9533240795135498,0.6977429389953613,0.07369004189968109
balanced_accuracy,Gray_Hair,0.32499998807907104,0.953047513961792,0.937735915184021,0.43709227442741394,0.9700103402137756,0.953047513961792,0.6026341319084167,0.04867367818951607
balanced_accuracy,Heavy_Makeup,0.5249999761581421,0.9169663190841675,0.9126692414283752,0.8537991046905518,0.9365243315696716,0.9169663190841675,0.8932504653930664,0.3901444673538208
balanced_accuracy,High_Cheekbones,0.550000011920929,0.8660608530044556,0.867065966129303,0.849205493927002,0.8561505675315857,0.8660608530044556,0.8526638150215149,0.4492877721786499
balanced_accuracy,Male,0.5,0.9931274056434631,0.9934061765670776,0.9932472705841064,0.9912508726119995,0.9931274056434631,0.9922480583190918,0.4257311224937439
balanced_accuracy,Mouth_Slightly_Open,0.5,0.9050357341766357,0.9054713845252991,0.9091778993606567,0.8930324912071228,0.9050357341766357,0.9010329246520996,0.48185431957244873
balanced_accuracy,Mustache,0.5,0.9432517290115356,0.9155383110046387,0.3716242015361786,0.9740777611732483,0.9432517290115356,0.5379956364631653,0.05048573017120361
balanced_accuracy,Narrow_Eyes,0.550000011920929,0.8065928220748901,0.7698193192481995,0.22574327886104584,0.8498659729957581,0.8065928220748901,0.3567309081554413,0.0750994086265564
balanced_accuracy,No_Beard,0.5249999761581421,0.9449499249458313,0.9416117072105408,0.9886670708656311,0.9397723078727722,0.9449499249458313,0.9635998010635376,0.8223687410354614
balanced_accuracy,Oval_Face,0.5,0.6815370917320251,0.6891830563545227,0.4618845283985138,0.6641509532928467,0.6815370917320251,0.5448514819145203,0.28011274337768555
