query_id,query,sources,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10,method
5,+Blond_Hair,5469,0.0495520204790638,0.1682208813311391,0.2492228926677637,0.0495520204790638,0.0428597549826289,0.0372828670689333,Blend model_plus_generic_delta_050
6,+Mustache,301,0.1063122923588039,0.2691029900332226,0.3521594684385382,0.1063122923588039,0.0684385382059799,0.0568106312292358,Blend model_plus_generic_delta_050
7,-Young,5355,0.0162464985994397,0.0649859943977591,0.1109243697478991,0.0162464985994397,0.0158730158730159,0.0153127917833799,Blend model_plus_generic_delta_050
8,"+Eyeglasses, +Smiling",612,0.130718954248366,0.3627450980392157,0.5179738562091504,0.130718954248366,0.0980392156862746,0.0815359477124186,Blend model_plus_generic_delta_050
9,"+Black_Hair, -Wavy_Hair",2572,0.0489891135303265,0.1695178849144634,0.2729393468118196,0.0489891135303265,0.0405909797822708,0.0367807153965783,Blend model_plus_generic_delta_050
10,"-Male, -Mustache",27,0.0,0.0,0.074074074074074,0.0,0.0,0.0111111111111111,Blend model_plus_generic_delta_050
11,"+Chubby, -Young",584,0.0017123287671232,0.0205479452054794,0.0308219178082191,0.0017123287671232,0.0041095890410958,0.0037671232876712,Blend model_plus_generic_delta_050
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.189873417721519,0.5569620253164557,0.6962025316455697,0.189873417721519,0.1772151898734176,0.1367088607594936,Blend model_plus_generic_delta_050
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.0294117647058823,0.0588235294117647,0.0588235294117647,0.0294117647058823,0.0117647058823529,0.0088235294117647,Blend model_plus_generic_delta_050
0,+Smiling,4786,0.0643543669034684,0.1984956122022566,0.2753865440869202,0.0643543669034684,0.0524864187212697,0.0439197659841196,Blend model_plus_generic_delta_100
1,+Eyeglasses,2196,0.104735883424408,0.2887067395264117,0.4221311475409836,0.104735883424408,0.0796903460837885,0.0702641165755912,Blend model_plus_generic_delta_100
2,-Heavy_Makeup,4087,0.0462441888916075,0.1578174700269146,0.2395400048935649,0.0462441888916075,0.0374357719598728,0.0324198678737456,Blend model_plus_generic_delta_100
3,+Male,1595,0.070846394984326,0.2169278996865203,0.3028213166144201,0.070846394984326,0.0630721003134799,0.0566771159874607,Blend model_plus_generic_delta_100
4,-Young,5355,0.0278244631185807,0.092250233426704,0.1480859010270775,0.0278244631185807,0.0231185807656397,0.0211204481792715,Blend model_plus_generic_delta_100
5,+Blond_Hair,5469,0.0502834156152861,0.1621868714573048,0.2572682391662095,0.0502834156152861,0.0426037666849511,0.0382153958676167,Blend model_plus_generic_delta_100
6,+Mustache,301,0.1029900332225913,0.3255813953488372,0.4318936877076412,0.1029900332225913,0.083720930232558,0.0687707641196013,Blend model_plus_generic_delta_100
7,-Young,5355,0.0278244631185807,0.092250233426704,0.1480859010270775,0.0278244631185807,0.0231185807656397,0.0211204481792715,Blend model_plus_generic_delta_100
8,"+Eyeglasses, +Smiling",612,0.0980392156862745,0.3235294117647059,0.4869281045751634,0.0980392156862745,0.0859477124183007,0.0735294117647061,Blend model_plus_generic_delta_100
