query_id,query,sources,avg_kept_in_pool,avg_pred_hamming_kept,avg_query_margin_kept,Recall@1,Recall@5,Recall@10,Precision@1,Precision@5,Precision@10,method
9,"+Black_Hair, -Wavy_Hair",2572,10.783048211508554,1.8468224441051917,0.2616343908380091,0.0758164852255054,0.2569984447900466,0.3860808709175738,0.0758164852255054,0.0643856920684291,0.0576982892690506,A_cal_query_hardh2_f1
10,"-Male, -Mustache",27,4.074074074074074,1.8857570886611936,0.6996187269687653,0.1111111111111111,0.2222222222222222,0.4074074074074074,0.1111111111111111,0.0592592592592592,0.0518518518518518,A_cal_query_hardh2_f1
11,"+Chubby, -Young",584,3.4366438356164384,1.8241432150204977,0.135531405173242,0.0924657534246575,0.2825342465753425,0.4366438356164384,0.0924657534246575,0.0695205479452054,0.0607876712328769,A_cal_query_hardh2_f1
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,0.4050632911392405,1.9513888955116272,0.1683449260890483,0.2151898734177215,0.6075949367088608,0.7974683544303798,0.2151898734177215,0.1974683544303796,0.1645569620253163,A_cal_query_hardh2_f1
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,0.7058823529411765,1.9038461630160992,0.2295747525416887,0.0,0.0588235294117647,0.1470588235294117,0.0,0.0176470588235294,0.0176470588235294,A_cal_query_hardh2_f1
0,+Smiling,4786,11.380484747179272,1.8202540429482044,0.3221410233849737,0.0875470121186794,0.2526117843710823,0.363769327204346,0.0875470121186794,0.0673631424989541,0.0578144588382775,A_cal_query_hardh2_precisionrecallmid
1,+Eyeglasses,2196,21.77823315118397,1.784994595962125,0.0720856716971762,0.1989981785063752,0.511384335154827,0.6657559198542805,0.1989981785063752,0.1622040072859724,0.1438069216757738,A_cal_query_hardh2_precisionrecallmid
2,-Heavy_Makeup,4087,12.700513824321018,1.7949012410496097,0.2019961435909494,0.0675311964766332,0.2211891362857841,0.3197944702715928,0.0675311964766332,0.0531930511377532,0.0452165402495709,A_cal_query_hardh2_precisionrecallmid
3,+Male,1595,42.201880877742944,1.770967019870218,0.5549930005188712,0.1329153605015674,0.3768025078369906,0.5147335423197492,0.1329153605015674,0.1179937304075232,0.1134796238244505,A_cal_query_hardh2_precisionrecallmid
4,-Young,5355,13.430999066293184,1.7862712992759795,0.1782057972174561,0.0666666666666666,0.2246498599439776,0.326984126984127,0.0666666666666666,0.0594211017740419,0.0526984126984121,A_cal_query_hardh2_precisionrecallmid
5,+Blond_Hair,5469,20.535746937282862,1.8206890208297928,0.1110086106419189,0.0945328213567379,0.2940208447613823,0.4291460961784604,0.0945328213567379,0.0802706162004004,0.0719692814042794,A_cal_query_hardh2_precisionrecallmid
6,+Mustache,301,7.810631229235881,1.7939103100480152,0.0388483607265002,0.1096345514950166,0.335548172757475,0.4784053156146179,0.1096345514950166,0.0870431893687706,0.0754152823920266,A_cal_query_hardh2_precisionrecallmid
7,-Young,5355,13.430999066293184,1.7862712992759795,0.1782057972174561,0.0666666666666666,0.2246498599439776,0.326984126984127,0.0666666666666666,0.0594211017740419,0.0526984126984121,A_cal_query_hardh2_precisionrecallmid
8,"+Eyeglasses, +Smiling",612,6.168300653594772,1.8069564740634656,0.1981998117224684,0.184640522875817,0.4722222222222222,0.6029411764705882,0.184640522875817,0.1467320261437914,0.1205882352941178,A_cal_query_hardh2_precisionrecallmid
9,"+Black_Hair, -Wavy_Hair",2572,19.24650077760497,1.811402939865795,0.2778269281206467,0.0867029548989113,0.2741057542768274,0.4090202177293934,0.0867029548989113,0.0709953343701396,0.0631026438569198,A_cal_query_hardh2_precisionrecallmid
10,"-Male, -Mustache",27,6.148148148148148,1.918628732363383,0.6451797419124179,0.074074074074074,0.2592592592592592,0.3703703703703703,0.074074074074074,0.0666666666666666,0.0518518518518518,A_cal_query_hardh2_precisionrecallmid
11,"+Chubby, -Young",584,5.845890410958904,1.7791196421573037,0.1826864085650365,0.1472602739726027,0.5068493150684932,0.636986301369863,0.1472602739726027,0.1198630136986307,0.0821917808219182,A_cal_query_hardh2_precisionrecallmid
12,"-Smiling, +Eyeglasses, +Wearing_Hat",79,1.7848101265822784,1.8712467104196548,0.1854927980651458,0.2025316455696202,0.5822784810126582,0.7721518987341772,0.2025316455696202,0.1924050632911391,0.170886075949367,A_cal_query_hardh2_precisionrecallmid
13,"+Wearing_Lipstick, -Heavy_Makeup, +Smiling",34,2.117647058823529,1.8932900547981264,0.2049512643367052,0.0294117647058823,0.0588235294117647,0.1470588235294117,0.0294117647058823,0.0117647058823529,0.0147058823529411,A_cal_query_hardh2_precisionrecallmid
0,+Smiling,4786,415.6615127455077,5.5681116739875645,0.3813687184964868,0.0773088173840367,0.2208524864187212,0.3029669870455495,0.0773088173840367,0.0595486836606762,0.0482239866276631,A_cal_query_only_accuracy
1,+Eyeglasses,2196,452.65983606557376,5.39831554455401,0.1471461644413149,0.1707650273224043,0.4458105646630236,0.5956284153005464,0.1707650273224043,0.1290528233151167,0.1132969034608364,A_cal_query_only_accuracy
2,-Heavy_Makeup,4087,229.7548323954001,4.7855033942181295,0.3312916995473033,0.064839735747492,0.2040616589185221,0.3065818448739907,0.064839735747492,0.0483484218252993,0.041815512600929,A_cal_query_only_accuracy
3,+Male,1595,498.3912225705329,4.853848643437448,0.3915820465753071,0.1122257053291536,0.3059561128526645,0.4426332288401254,0.1122257053291536,0.0910344827586208,0.0873354231974917,A_cal_query_only_accuracy
